PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RUN AREA,PASS ZONE,GN/LS,RESULT,OFF FORM,OFF PLAY,comments,DEF FRONT,S ALIGN,COVERAGE,BLITZ,comments2,QTR,OPP TEAM
57,O,1,10,L,-25,Run,P-L,,1,Rush,DOUBLES,ARMY,,42,2HI,C4,,,,University of Puget Sound
71,O,1,10,L,40,Run,P-L,,0,Rush,TRIO,ARMY,,70,0,ZERO,7,,,University of Puget Sound
81,O,1,10,R,35,Run,P-L,,10,Rush,DEUCE,ARMY,,42,1HI,C1,,,,University of Puget Sound
82,O,1,10,M,25,Run,P-R,,2,Rush,DEUCE,ARMY,,42,1HI,C1,,,,University of Puget Sound
85,O,4,1,R,16,Run,P-L,,1,Rush,DEUCE,ARMY,,70,0,ZERO,7,,,University of Puget Sound
86,O,1,10,L,19,Run,P-L,,-1,Rush,DEUCE,ARMY,,70,0,ZERO,7,,,University of Puget Sound
92,O,1,10,R,36,Run,P-R,,2,Rush,DOUBLES,ARMY,,70,0,ZERO,7,,,University of Puget Sound
179,O,1,10,R,-48,Run,P-L,,3,Rush,DEUCE,ARMY,,43,2HI,OVER,,,,Willamette University
180,O,2,7,M,49,Run,P-L,,9,Rush,DEUCE,ARMY,,42,2HI,OVER,,,,Willamette University
181,O,1,10,L,40,Run,P-L,,1,Rush,DEUCE,ARMY,,42,2HI,OVER,,,,Willamette University
183,O,1,10,R,24,,,,0,Fumble,DEUCE,ARMY,,42,2HI,OVER,,,,Willamette University
199,O,1,10,,-14,Run,,,6,,DEUCE,ARMY,,42,2HI,C4,,,,Lewis & Clark College
200,O,2,4,,-20,Run,,,11,,DEUCE,ARMY,,42,2HI,C4,,,,Lewis & Clark College
202,O,2,5,,-36,Run,,,5,,DEUCE,ARMY,,42,2HI,C4,,,,Lewis & Clark College
